timestamp,ghi_w_m2,dni_w_m2,temp_amb_c,wind_speed_m_s
2015-01-01 00:00:00,0.0,0.0,7.61,1.26
2015-01-01 01:00:00,0.0,0.0,6.96,1.19
2015-01-01 02:00:00,0.0,0.0,6.37,1.13
2015-01-01 03:00:00,0.0,0.0,5.85,1.06
2015-01-01 04:00:00,0.0,0.0,5.54,0.97
2015-01-01 05:00:00,0.0,0.0,6.0,1.05
2015-01-01 06:00:00,0.0,0.0,6.64,0.95
2015-01-01 07:00:00,19.77,19.34,7.15,0.81
2015-01-01 08:00:00,91.38,126.28,9.68,0.98
2015-01-01 09:00:00,138.82,113.47,12.32,0.72
2015-01-01 10:00:00,115.28,22.89,16.53,0.18
2015-01-01 11:00:00,300.33,235.18,18.21,0.42
2015-01-01 12:00:00,464.17,463.91,19.13,1.08
2015-01-01 13:00:00,371.92,266.2,19.56,1.72
2015-01-01 14:00:00,280.05,204.4,19.34,2.05
2015-01-01 15:00:00,162.93,122.98,18.51,2.08
2015-01-01 16:00:00,39.78,33.55,14.83,1.06
2015-01-01 17:00:00,0.0,0.0,11.85,1.16
2015-01-01 18:00:00,0.0,0.0,11.7,1.15
2015-01-01 19:00:00,0.0,0.0,11.36,1.04
2015-01-01 20:00:00,0.0,0.0,11.24,1.03
2015-01-01 21:00:00,0.0,0.0,11.32,1.12
2015-01-01 22:00:00,0.0,0.0,11.06,1.14
2015-01-01 23:00:00,0.0,0.0,11.41,1.08
2015-01-02 00:00:00,0.0,0.0,11.94,0.9
2015-01-02 01:00:00,0.0,0.0,12.07,0.7
2015-01-02 02:00:00,0.0,0.0,12.14,0.5
2015-01-02 03:00:00,0.0,0.0,11.98,0.4
2015-01-02 04:00:00,0.0,0.0,11.81,0.28
2015-01-02 05:00:00,0.0,0.0,11.43,0.35
2015-01-02 06:00:00,0.0,0.0,10.76,0.59
2015-01-02 07:00:00,28.02,39.87,10.17,0.72
2015-01-02 08:00:00,175.75,338.01,11.49,0.83
2015-01-02 09:00:00,326.38,449.76,13.17,0.78
2015-01-02 10:00:00,452.1,606.81,15.16,0.88
2015-01-02 11:00:00,526.5,656.62,17.36,1.06
2015-01-02 12:00:00,510.62,541.33,18.26,0.91
2015-01-02 13:00:00,458.02,546.87,18.66,0.96
2015-01-02 14:00:00,348.65,480.79,18.41,1.16
2015-01-02 15:00:00,208.55,377.65,17.86,1.12
2015-01-02 16:00:00,52.5,92.76,14.87,0.89
2015-01-02 17:00:00,0.0,0.0,12.45,1.2
2015-01-02 18:00:00,0.0,0.0,10.86,1.12
2015-01-02 19:00:00,0.0,0.0,9.79,1.11
2015-01-02 20:00:00,0.0,0.0,9.12,1.18
2015-01-02 21:00:00,0.0,0.0,8.62,1.2
2015-01-02 22:00:00,0.0,0.0,8.28,1.25
2015-01-02 23:00:00,0.0,0.0,8.56,1.25
2015-01-03 00:00:00,0.0,0.0,8.34,1.21
2015-01-03 01:00:00,0.0,0.0,7.98,1.1
2015-01-03 02:00:00,0.0,0.0,7.58,1.01
2015-01-03 03:00:00,0.0,0.0,7.32,0.94
2015-01-03 04:00:00,0.0,0.0,7.34,0.89
2015-01-03 05:00:00,0.0,0.0,7.36,0.88
2015-01-03 06:00:00,0.0,0.0,7.2,0.91
2015-01-03 07:00:00,27.65,10.46,7.69,1.08
2015-01-03 08:00:00,165.77,189.72,10.48,2.2
2015-01-03 09:00:00,317.2,336.25,13.69,1.86
2015-01-03 10:00:00,437.1,453.4,17.24,1.8
2015-01-03 11:00:00,510.85,585.5,18.6,1.89
2015-01-03 12:00:00,517.25,611.77,19.37,2.03
2015-01-03 13:00:00,476.9,613.99,19.62,2.13
2015-01-03 14:00:00,350.02,522.74,19.17,2.16
2015-01-03 15:00:00,201.05,362.9,18.29,1.97
2015-01-03 16:00:00,49.08,54.22,15.09,0.92
2015-01-03 17:00:00,0.0,0.0,12.45,0.94
2015-01-03 18:00:00,0.0,0.0,11.98,0.9
