sep=,
"Architecture/PV (kW)","Architecture/Gen (kW)","Architecture/1kWh LI (#)","Architecture/Grid (kW)","Architecture/Converter (kW)","Architecture/Dispatch","Cost/NPC ($)","Cost/LCOE ($/kWh)","Cost/Operating cost ($/yr)","Cost/CAPEX ($)","System/Ren Frac (%)","System/Total Fuel (L/yr)","Project Economics/IRR (%)","Project Economics/Simple Payback (yr)","Gen/Hours","Gen/Production (kWh)","Gen/Fuel (L)","Gen/O&M Cost ($/yr)","Gen/Fuel Cost ($/yr)","PV/CAPEX","PV/Energy Production (kWh/yr)","1kWh LI/Auxiliary Load Percent (%)","1kWh LI/Autonomy (hr)","1kWh LI/Annual Throughput (kWh/yr)","1kWh LI/Nominal Capacity (kWh)","1kWh LI/Accessible Capacity (kWh)","Converter/Rectifier Mean Output (kW)","Converter/Inverter Mean Output (kW)","Grid/Energy Purchased (kWh)","Grid/Energy Sold (kWh)"
"819.27427333131","640","650","999999","599.063045532482","CC","2540091","0.1013491","93175.27","1335566","62.46818","56311.81","17.13222","5.567028","397","220003.8","56311.81","7622.4","25340.31","737346.9","1510817","0","2.984894","208374.6","650.0013","552.5011","20.21992","159.5354","507631.7","317248.3"
"802.712640752105","640","653","999999","592.817182303404","CC","2540309","0.10202","94432.13","1319537","61.8952","56721.57","17.2861","5.544807","400","221599.5","56721.57","7680","25524.71","722441.4","1480276","0","2.99867","209856.4","653.0013","555.0511","20.31381","157.477","512349.8","304665.2"
"827.946434958394","640","684","999999","590.859420988149","CC","2541410","0.1013242","92206.41","1349410","62.63093","54431.24","16.97005","5.590139","372","213207.7","54431.24","7142.4","24494.06","745151.8","1526810","0","3.141026","212552.6","684.0013","581.4012","20.59151","160.3927","511826.6","318730.9"
"788.046597879538","640","668","999999","587.728348280134","CC","2541480","0.1026689","95371.72","1308561","61.36582","56415.49","17.37713","5.530316","392","220677.9","56415.49","7526.4","25386.97","709241.9","1453231","0","3.067552","213657.6","668.0013","567.8011","20.57545","155.7974","519105.3","293373.1"
"826.92422895918","640","684","999999","600.70926851235","CC","2541695","0.1011274","92071.06","1351445","62.69926","54394.48","16.95327","5.592056","371","213098.8","54394.48","7123.2","24477.51","744231.8","1524925","0","3.141026","212703","684.0013","581.4012","20.59951","160.8384","512099.9","322725.7"
"808.975039733465","640","677","999999","583.093578178075","CC","2542099","0.1021184","93896.11","1328256","61.98239","55813.41","17.17433","5.561309","387","218361","55813.41","7430.4","25116.04","728077.6","1491825","0","3.108881","212105.7","677.0013","575.4512","20.50258","157.832","513718.2","304163.7"
"796.302307663083","640","682","999999","600.545640377259","CC","2542274","0.1021507","94290.2","1323336","61.76128","55514.24","17.22991","5.551706","380","217421.7","55514.24","7296","24981.41","716672.1","1468455","0","3.131842","214615.9","682.0013","579.7012","20.69815","157.5182","518732.9","303686.9"
"832.422333073451","640","678","999999","606.491902538316","CC","2542350","0.1008522","91720.84","1356628","62.91217","54711","16.90791","5.599196","374","214299.4","54711","7180.8","24619.95","749180.1","1535064","0","3.113474","211550.5","678.0013","576.3011","20.48258","161.6049","508913.8","328533.2"
"847.988078838854","640","673","999999","596.808096344456","CC","2542983","0.1006575","91007.48","1366482","63.22729","54609.11","16.80777","5.615519","375","213820.7","54609.11","7200","24574.1","763189.3","1563768","0","3.090513","209420.7","673.0013","572.0511","20.36461","162.4895","504813","332790.5"
"809.053071301112","640","732","999999","596.987371609238","CC","2543596","0.1019194","92620.43","1346244","62.24126","53047.06","17.02634","5.591561","363","207764.3","53047.06","6969.6","23871.18","728147.8","1491969","0","3.361449","215477.1","732.0015","622.2012","20.38082","158.6207","521178.9","309060"
"793.853456669919","640","703","999999","590.220296587591","CC","2544207","0.1025485","94443.75","1323284","61.63804","55193.42","17.18377","5.556254","379","216109.1","55193.42","7276.8","24837.04","714468.1","1463939","0","3.228277","215720","703.0014","597.5512","20.64296","156.7665","520113.3","297678.8"
