sep=,
"Architecture/PV (kW)","Architecture/Gen (kW)","Architecture/1kWh LI (#)","Architecture/Grid (kW)","Architecture/Converter (kW)","Architecture/Dispatch","Cost/NPC ($)","Cost/LCOE ($/kWh)","Cost/Operating cost ($/yr)","Cost/CAPEX ($)","System/Ren Frac (%)","System/Total Fuel (L/yr)","Project Economics/IRR (%)","Project Economics/Simple Payback (yr)","Gen/Hours","Gen/Production (kWh)","Gen/Fuel (L)","Gen/O&M Cost ($/yr)","Gen/Fuel Cost ($/yr)","PV/CAPEX","PV/Energy Production (kWh/yr)","1kWh LI/Auxiliary Load Percent (%)","1kWh LI/Autonomy (hr)","1kWh LI/Annual Throughput (kWh/yr)","1kWh LI/Nominal Capacity (kWh)","1kWh LI/Accessible Capacity (kWh)","Converter/Rectifier Mean Output (kW)","Converter/Inverter Mean Output (kW)","Grid/Energy Purchased (kWh)","Grid/Energy Sold (kWh)"
"24.3975063713587","110","52","999999","25.3801129834481","CC","224182.8","0.1520644","10644.81","86571.79","31.60806","7128.413","52.93884","2.077771","475","22428.73","7128.413","1567.5","3207.786","21957.76","44991.25","0","3.772594","8801.269","52.0001","44.20009","0.809665","4.980278","55565.86","11407.57"
"26.3020116987111","110","52","999999","24.8315195131644","CC","224223.9","0.149561","10528.14","88121.27","33.21354","7146.122","51.50785","2.141234","478","22454.64","7146.122","1577.4","3215.755","23671.81","48503.34","0","3.772594","8626.511","52.0001","44.20009","0.7847209","5.236748","54998.16","13337.76"
"24.6252566084582","110","53","999999","24.1601765699649","CC","224579.3","0.152128","10668.6","86660.78","31.85882","7178.958","52.80371","2.08388","482","22528.28","7178.958","1590.6","3230.531","22162.73","45411.25","0","3.845144","8611.37","53.00011","45.05009","0.7753269","4.985355","55285.25","11561.53"
"28.3100140941069","110","51","999999","25.5497180169538","CC","224636.7","0.1470681","10422.94","89893.93","34.69901","7170.083","49.93493","2.215612","481","22507.04","7170.083","1587.3","3226.537","25479.01","52206.28","0","3.700044","8562.5","51.0001","43.35009","0.7838983","5.518703","54648.45","15520.59"
"26.4613818417438","110","54","999999","24.8527518001403","CC","224712.9","0.1496986","10515.7","88771.07","33.33294","7110.895","50.87801","2.17061","474","22370.87","7110.895","1564.2","3199.903","23815.24","48797.23","0","3.917694","8713.821","54.00011","45.90009","0.7936097","5.266674","55040.83","13483.84"
"25.8777651113114","110","51","999999","25.9876003130554","CC","224829.6","0.1503524","10597.03","87836.27","32.80599","7220.398","51.68582","2.133566","483","22687.51","7220.398","1593.9","3249.179","23289.99","47720.98","0","3.700044","8831.726","51.0001","43.35009","0.8197978","5.206596","55037.12","13038.93"
"24.9736793126525","110","54","999999","29.4182314086142","CC","224879.3","0.1517807","10526.19","88801.78","31.92325","7007.014","50.8334","2.172653","451","22307.34","7007.014","1488.3","3153.156","22476.31","46053.77","0","3.917694","9782.006","54.00011","45.90009","0.9288529","5.162733","55714.59","11975.76"
"24.2117402229393","110","56","999999","29.8379190270621","CC","224882","0.1528032","10531.03","88741.95","31.19415","6948.915","50.88132","2.170365","438","22274.05","6948.915","1445.4","3127.011","21790.57","44648.68","0","4.062794","10234.76","56.00011","47.60009","0.989664","5.10421","56056.73","11210.17"
"28.5305923365712","110","54","999999","23.8562747883912","CC","224902","0.1472841","10409.39","90334.41","34.89426","7130.715","49.54261","2.235013","479","22372.97","7130.715","1580.7","3208.822","25677.53","52613.04","0","3.917694","8343.448","54.00011","45.90009","0.7447752","5.504222","54529.73","15486.66"
"23.7606610745133","110","56","999999","28.5817146588914","CC","224911.3","0.1535348","10593.85","87959.11","30.93148","6981.651","51.56937","2.138681","447","22265.37","6981.651","1475.1","3141.743","21384.6","43816.85","0","4.062794","9884.65","56.00011","47.60009","0.9380857","4.995496","55999.98","10682.47"
"23.0501095058647","110","53","999999","26.0815118623132","CC","224924.1","0.1543915","10760.35","85819.55","30.40659","7171.389","53.56908","2.051396","475","22610.85","7171.389","1567.5","3227.125","20745.1","42506.53","0","3.845144","9157.908","53.00011","45.05009","0.8518308","4.81872","55816.15","10060.1"
"22.2857378199417","110","52","999999","23.8703684978928","CC","224931.3","0.1554656","10884.77","84218.27","29.75307","7274.327","55.19484","1.985217","491","22785.02","7274.327","1620.3","3273.447","20057.16","41096.96","0","3.772594","8707.328","52.0001","44.20009","0.7955874","4.655","55834.04","9285.11"
"24.2281363947458","110","55","999999","26.0554108754927","CC","225012.8","0.152905","10647.12","87371.95","31.44637","7105.63","52.08681","2.115564","467","22463.2","7105.63","1541.1","3197.533","21805.32","44678.92","0","3.990244","9157.606","55.00011","46.7501","0.8509392","4.990196","55573.88","11200.59"
"25.61513254422","110","52","999999","29.4480172098528","CC","225016","0.1509332","10530.1","88888.02","32.47363","7078.815","50.7429","2.177051","462","22431.46","7078.815","1524.6","3185.467","23053.62","47236.67","0","3.772594","9503.732","52.0001","44.20009","0.8987233","5.231799","55441.59","12689.37"
"21.2081240432795","110","53","999999","25.6028990451043","CC","225037.9","0.1569836","10908.5","84018.18","28.66668","7179.973","55.39099","1.977511","477","22614.47","7179.973","1574.1","3230.988","19087.31","39109.74","0","3.845144","9190.488","53.00011","45.05009","0.8582429","4.544919","56485.95","8255.418"
"22.9717497120519","110","55","999999","24.8602030018732","CC","225040.1","0.154706","10764.44","85882.63","30.39226","7146.847","53.49252","2.054681","474","22523.22","7146.847","1564.2","3216.081","20674.57","42362.02","0","3.990244","9013.524","55.00011","46.7501","0.8239712","4.783075","55800.86","9889.051"
"24.6501236373165","110","59","999999","29.7697403435458","CC","225101.5","0.1524832","10461.06","89866.03","31.63134","6853.974","49.90986","2.21674","428","22035.49","6853.974","1412.4","3084.288","22185.11","45457.1","0","4.280443","10346.02","59.00012","50.1501","0.9934052","5.173759","56037.09","11560.48"
"25.0032581799899","110","56","999999","30.7315566942054","CC","225172.8","0.1519296","10477.68","89722.4","31.8141","6955.233","50.01591","2.211727","436","22333.58","6955.233","1438.8","3129.855","22502.93","46108.31","0","4.062794","10324.34","56.00011","47.60009","1.000408","5.22841","55838.75","12012.84"
"23.8509919597021","110","54","999999","26.9941989723787","CC","225173.7","0.1534995","10683.38","87064.16","31.0588","7127.782","52.34918","2.104045","468","22540.7","7127.782","1544.4","3207.502","21465.89","43983.43","0","3.917694","9339.309","54.00011","45.90009","0.8771176","4.956751","55689.51","10840.78"
"25.754606746755","110","56","999999","31.7391430818276","CC","225177.3","0.150859","10402.34","90700.89","32.39678","6928.897","49.22021","2.250867","430","22320.24","6928.897","1419","3118.004","23179.15","47493.87","0","4.062794","10503","56.00011","47.60009","1.026013","5.362977","55735.63","12828.74"
"24.6495704776187","110","56","999999","28.3006822986537","CC","225180.7","0.1525058","10559.32","88674.82","31.72356","7005.846","50.90752","2.169377","452","22286.02","7005.846","1491.6","3152.631","22184.61","45456.08","0","4.062794","9627.344","56.00011","47.60009","0.9054747","5.09659","55697.06","11583.64"
"26.0215227719987","110","54","999999","34.7900828958133","CC","225180.9","0.1504777","10351.91","91356.4","32.54832","6950.406","48.71024","2.27657","423","22526.04","6950.406","1395.9","3127.683","23419.37","47986.09","0","3.917694","10823.27","54.00011","45.90009","1.066893","5.434134","55553.51","13123.22"
"29.8066724271542","110","52","999999","28.1746889649141","CC","225208.7","0.1454879","10282.74","92278.41","35.77092","7097.773","47.99806","2.313951","468","22413.53","7097.773","1544.4","3193.998","26826.01","54966.25","0","3.772594","8933.59","52.0001","44.20009","0.8297838","5.773725","54495.07","17108.05"
"26.4073804758232","110","53","999999","26.5066878840797","CC","225212","0.1500165","10539.02","88968.65","33.20986","7168.974","50.64665","2.181818","475","22600.61","7168.974","1567.5","3226.038","23766.64","48697.64","0","3.845144","9064.402","53.00011","45.05009","0.8433245","5.301425","54961.53","13495.09"
"32.1703034783808","110","55","999999","26.3106099568031","CC","225214","0.1429317","10103.84","94596.45","37.36329","7007.49","46.3283","2.405253","459","22178.34","7007.49","1514.7","3153.371","28953.27","59325.01","0","3.990244","8829.637","55.00011","46.7501","0.8024204","6.051934","54166.71","19252.44"
"24.5600333194633","110","55","999999","23.854664244947","CC","225226.3","0.1526929","10691.6","87010.43","31.8228","7193.64","52.39317","2.102205","482","22590.5","7193.64","1590.6","3237.138","22104.03","45290.96","0","3.990244","8635.098","55.00011","46.7501","0.7735329","4.974952","55199.59","11466.82"
"27.3743419893284","110","53","999999","28.3732943542343","CC","225244.5","0.1488137","10430.89","90398.9","33.92429","7087.375","49.45713","2.23932","465","22418.6","7087.375","1534.5","3189.319","24636.91","50480.81","0","3.845144","9232.681","53.00011","45.05009","0.86103","5.451696","54945.23","14450.58"
"24.3748330466262","110","50","999999","24.7052755304771","CC","225253.8","0.152636","10783.57","85848.93","31.53134","7345.631","53.49126","2.055014","499","22956.17","7345.631","1646.7","3305.534","21937.35","44949.44","0","3.627494","8646.905","50.0001","42.50008","0.799097","4.965627","55205.15","11523.31"
"23.9857462942245","110","51","999999","26.5323189507711","CC","225256.8","0.1531907","10749.16","86296.87","31.16976","7263.437","53.05997","2.073279","485","22837.14","7263.437","1600.5","3268.547","21587.17","44231.93","0","3.700044","9079.303","51.0001","43.35009","0.8533583","4.956905","55453.45","11111.42"
"25.4216478736064","110","57","999999","29.3155816230756","CC","225264","0.1514457","10469.13","89924.16","32.26804","6961.19","49.84034","2.220338","441","22276.93","6961.19","1455.3","3132.535","22879.48","46879.86","0","4.135344","10073.91","57.00011","48.4501","0.964062","5.261916","55654.63","12425.73"
"24.5124793820136","110","52","999999","28.5324114019873","CC","225272.5","0.1525696","10647.95","87620.95","31.56831","7148.277","51.82685","2.127391","470","22594.8","7148.277","1551","3216.725","22061.23","45203.27","0","3.772594","9411.981","52.0001","44.20009","0.8911988","5.064337","55564.81","11582.47"
"26.7055536216388","110","57","999999","25.9068240971289","CC","225274.1","0.1497731","10459.63","90057.05","33.51766","7018.18","49.73211","2.225749","461","22190.88","7018.18","1521.3","3158.181","24035","49247.5","0","4.135344","9008.211","57.00011","48.4501","0.8259795","5.331801","55160.61","13715.89"
"23.3862659127978","110","54","999999","30.3668065324294","CC","225285","0.1542172","10646.08","87657.68","30.53758","7031.712","51.79401","2.128763","451","22412.01","7031.712","1488.3","3164.271","21047.64","43126.43","0","3.917694","9991.25","54.00011","45.90009","0.9579357","4.957704","56081.61","10368.51"
"24.5032001453116","110","56","999999","24.2334582084968","CC","225326.3","0.1528803","10675.17","87322.91","31.79045","7150.246","52.09396","2.115479","477","22488.49","7150.246","1574.1","3217.611","22052.88","45186.16","0","4.062794","8737.502","56.00011","47.60009","0.7837147","4.975571","55277.63","11377.57"
"29.3208844830296","110","55","999999","32.8027664013042","CC","225327.2","0.1462158","10160.31","93979.63","35.09939","6951.563","46.74899","2.381372","427","22465.43","6951.563","1409.1","3128.203","26388.8","54070.41","0","3.990244","10467.19","55.00011","46.7501","1.020429","5.868351","54901.1","16574.66"
"23.6782309102419","110","54","999999","27.2521697188193","CC","225381.9","0.153848","10705.52","86986.06","30.89999","7143.135","52.39518","2.102153","469","22589.38","7143.135","1547.7","3214.411","21310.41","43664.84","0","3.917694","9349.72","54.00011","45.90009","0.8798977","4.934015","55715.73","10688.38"
"24.8884327025772","110","51","999999","29.5779751389116","CC","225400.9","0.1520822","10626.79","88022.98","31.83041","7166.528","51.44932","2.144607","470","22672.14","7166.528","1551","3224.938","22399.59","45896.57","0","3.700044","9539.673","51.0001","43.35009","0.9084962","5.134003","55482.14","12013.8"
"24.0199997615767","110","55","999999","31.062339082872","CC","225407.9","0.1534181","10575.98","88686.7","30.97244","7023.428","50.86447","2.171519","442","22524.3","7023.428","1458.6","3160.543","21618","44295.09","0","3.990244","10346.59","55.00011","46.7501","1.004955","5.090002","55926.97","11019.08"
"23.8064507840686","110","59","999999","29.4389428465007","CC","225440.8","0.1537831","10553.71","89007.49","30.8765","6901.754","50.58585","2.18459","433","22156.08","6901.754","1428.9","3105.79","21425.81","43901.29","0","4.280443","10333.32","59.00012","50.1501","0.9972271","5.050669","56229.22","10765.9"
"25.5729702742282","110","56","999999","27.2103885863281","CC","225526.1","0.1514652","10547.06","89178.79","32.54773","7067.175","50.43346","2.192025","462","22382.13","7067.175","1524.6","3180.229","23015.67","47158.91","0","4.062794","9334.871","56.00011","47.60009","0.8685833","5.203022","55307.94","12544.81"
"23.2849762461113","110","53","999999","28.8089070333006","CC","225533.6","0.1544701","10727.85","86849.15","30.49755","7138.792","52.50438","2.097434","467","22603.73","7138.792","1541.1","3212.456","20956.48","42939.64","0","3.845144","9588.585","53.00011","45.05009","0.9103506","4.901575","55893.05","10307.99"
"22.4177356167793","110","50","999999","25.0630052956046","CC","225533.7","0.1555452","10933.17","84194.87","29.78582","7387.542","55.13482","1.987983","500","23117.4","7387.542","1650","3324.394","20175.96","41340.37","0","3.627494","8882.718","50.0001","42.50008","0.8258954","4.697874","55635.12","9527.38"
"22.0081085693738","110","57","999999","25.6276543578387","CC","225538.2","0.1564267","10813.57","85745.59","29.48851","7083.136","53.56143","2.052041","466","22384.26","7083.136","1537.8","3187.411","19807.3","40584.98","0","4.135344","9269.755","57.00011","48.4501","0.8553429","4.664623","56257.64","8897.57"
"31.7483392684969","110","57","999999","31.0369160820554","CC","225546.8","0.1432777","10010.6","96134.58","36.95308","6877.04","45.2725","2.466388","428","22133.24","6877.04","1412.4","3094.668","28573.51","58546.87","0","4.135344","10084.92","57.00011","48.4501","0.9655191","6.16427","54639.44","19137.68"
"25.325960304077","110","53","999999","28.1072111259941","CC","225548.2","0.1517074","10603.17","88475.53","32.28404","7158.972","51.03376","2.163856","471","22623.74","7158.972","1554.3","3221.538","22793.37","46703.41","0","3.845144","9310.395","53.00011","45.05009","0.8752794","5.171413","55253.14","12372.18"
"24.0253653220488","110","58","999999","30.6293556316783","CC","225559.5","0.1535381","10539.37","89311.63","30.99409","6927.045","50.31279","2.197663","432","22279.64","6927.045","1425.6","3117.17","21622.83","44304.99","0","4.207893","10496.92","58.00011","49.3001","1.020814","5.103137","56138.43","11006.61"
"25.6677516549007","110","50","999999","23.7536706175999","CC","225559.8","0.1511531","10739.32","86727.08","32.66973","7405.867","52.60913","2.093112","508","23064.03","7405.867","1676.4","3332.64","23100.98","47333.7","0","3.627494","8290.227","50.0001","42.50008","0.7510345","5.114774","54657.24","12799.84"
"29.1740761761363","110","50","999999","36.1375761887553","CC","225563","0.1465286","10208.07","93597.95","35.05269","7084.724","47.07101","2.36323","431","22964.21","7084.724","1422.3","3188.126","26256.67","53799.69","0","3.627494","10670.22","50.0001","42.50008","1.053658","5.874432","54373.5","16444.58"
"25.0220236955616","110","49","999999","32.0484764511612","CC","225563.7","0.1519812","10611.42","88384.37","31.91471","7254.711","51.13004","2.159272","467","23094.97","7254.711","1541.1","3264.62","22519.82","46142.92","0","3.554944","9939.311","49.0001","41.65008","0.9649709","5.201555","55070.97","12172.88"
"30.9368869429222","110","56","999999","36.2697864940936","CC","225572.8","0.1442827","9967.004","96724.13","36.1826","6854.93","44.89959","2.488405","404","22432.62","6854.93","1333.2","3084.719","27843.2","57050.47","0","4.062794","11251.02","56.00011","47.60009","1.107952","6.174452","54745.88","18303.41"
"28.6101836784352","110","57","999999","38.3775746009436","CC","225593.5","0.1473428","10062.34","95512.44","34.46348","6779.061","45.71314","2.439821","389","22356.77","6779.061","1283.7","3050.577","25749.17","52759.82","0","4.135344","11689.97","57.00011","48.4501","1.17029","5.895549","55261.85","15802.65"
