sep=,
"Architecture/PV (kW)","Architecture/Gen (kW)","Architecture/1kWh LI (#)","Architecture/Grid (kW)","Architecture/Converter (kW)","Architecture/Dispatch","Cost/NPC ($)","Cost/LCOE ($/kWh)","Cost/Operating cost ($/yr)","Cost/CAPEX ($)","System/Ren Frac (%)","System/Total Fuel (L/yr)","Project Economics/IRR (%)","Project Economics/Simple Payback (yr)","Gen/Hours","Gen/Production (kWh)","Gen/Fuel (L)","Gen/O&M Cost ($/yr)","Gen/Fuel Cost ($/yr)","PV/CAPEX","PV/Energy Production (kWh/yr)","1kWh LI/Auxiliary Load Percent (%)","1kWh LI/Autonomy (hr)","1kWh LI/Annual Throughput (kWh/yr)","1kWh LI/Nominal Capacity (kWh)","1kWh LI/Accessible Capacity (kWh)","Converter/Rectifier Mean Output (kW)","Converter/Inverter Mean Output (kW)","Grid/Energy Purchased (kWh)","Grid/Energy Sold (kWh)"
"289.507988722862","270","274","999999","218.711413993435","CC","1080686","0.1082552","44712","502670.6","54.57168","26814.42","17.92073","5.444245","418","102839.1","26814.42","3385.8","12066.49","260557.2","533879.4","0","3.125901","94637.68","274.0005","232.9005","9.738287","58.35675","247962.9","119531.5"
"300.593623707081","270","251","999999","217.483431822535","CC","1080813","0.1072712","44423.37","506529.3","55.3926","27060.69","17.86459","5.455942","449","103082.3","27060.69","3636.9","12177.31","270534.3","554322.4","0","2.863508","91485.9","251.0005","213.3504","9.513336","59.29737","244581.3","126707.2"
"293.738203524786","270","260","999999","223.241792525571","CC","1081012","0.1076104","44608.33","504336.9","55.03228","27309.89","17.89396","5.448199","438","104422.3","27309.89","3547.8","12289.45","264364.4","541680.3","0","2.966183","92878.86","260.0005","221.0004","9.596717","58.9192","245009.2","124393.4"
"288.830464766826","270","266","999999","215.609906775206","CC","1081020","0.1084751","45011.7","499130.4","54.41905","27213.71","18.01603","5.431797","434","104118","27213.71","3515.4","12246.17","259947.4","532630","0","3.034634","93987.78","266.0005","226.1004","9.691653","58.09069","247257.7","118204.5"
"298.66541149315","270","291","999999","217.783251265477","CC","1081733","0.1076502","43848.26","514883.8","55.36508","26098.98","17.63416","5.493461","399","100297.9","26098.98","3231.9","11744.54","268798.9","550766.6","0","3.319844","95081.9","291.0006","247.3505","9.717078","59.3557","246650.6","124624.2"
"303.001196568639","270","278","999999","221.440499285859","CC","1081842","0.1070416","43721.34","516633.2","55.74751","26456.6","17.50121","5.496662","410","101529.3","26456.6","3321","11905.47","272701.1","558762.1","0","3.171535","93979.73","278.0005","236.3005","9.648088","59.90865","244436.9","129122"
"305.839989389195","270","262","999999","227.946459776974","CC","1081947","0.1063612","43690.29","517139.9","56.0746","26919.67","17.54707","5.495339","428","103026.9","26919.67","3466.8","12113.85","275256","563997.1","0","2.989","92188.66","262.0005","222.7004","9.561603","60.43457","242612.5","134199.8"
"277.789201395786","270","251","999999","216.363169792943","CC","1081978","0.1094621","46127.1","485669.2","53.42743","27850.05","18.46512","5.382713","464","106040.1","27850.05","3758.4","12532.52","250010.3","512268.9","0","2.863508","92878.95","251.0005","213.3504","9.662854","56.80512","250058.1","111931"
"289.844501667393","270","285","999999","214.846191726921","CC","1082060","0.1085945","44671.88","504563.9","54.48497","26513.91","17.79715","5.456494","410","101772.2","26513.91","3321","11931.26","260860","534500","0","3.251393","95533.3","285.0006","242.2505","9.804278","58.26066","249047.2","118098.5"
"280.614159812964","270","278","999999","222.293498382245","CC","1082096","0.1091229","45279.81","496740.8","53.89148","26949.39","18.0578","5.425206","419","103385.2","26949.39","3393.9","12127.22","252552.8","517478.4","0","3.171535","95649.27","278.0005","236.3005","9.782176","57.48711","250299.3","114391.2"
"283.762279066676","270","257","999999","220.401896947474","CC","1082125","0.1087432","45512.89","493756.6","54.06381","27564.29","18.19799","5.411903","450","105190.6","27564.29","3645","12403.93","255386","523283.8","0","2.931958","93490.81","257.0005","218.4504","9.669088","57.68559","248412.1","117090.7"
"292.719470662395","270","296","999999","222.066240736419","CC","1082146","0.1080352","44098.05","512067.4","55.04993","26146.35","17.68877","5.484255","399","100498.6","26146.35","3231.9","11765.86","263447.5","539801.7","0","3.376886","95534.68","296.0006","251.6005","9.698243","58.90074","247787.2","122149.8"
"285.187867462185","270","237","999999","220.122853624201","CC","1082178","0.108609","45810.94","489955.9","54.20293","28062.49","18.21349","5.398376","493","106191.5","28062.49","3993.3","12628.12","256669.1","525912.8","0","2.70379","89265.31","237.0005","201.4504","9.344765","57.52758","246792.8","118079"
"318.624405060514","270","249","999999","220.489393899085","CC","1082210","0.1058242","43245.05","523158.8","56.77878","26703.09","17.39242","5.518181","442","101747.6","26703.09","3580.2","12016.39","286762","587572.8","0","2.840691","90042.44","249.0005","211.6504","9.398615","61.16683","240159.7","138385.2"
"298.435481030403","270","254","999999","233.93951165186","CC","1082547","0.1068335","44267.81","510273.8","55.62657","27095.64","17.73633","5.468899","443","103385.3","27095.64","3588.3","12193.04","268591.9","550342.6","0","2.897733","92040.95","254.0005","215.9004","9.524965","59.80027","244428.9","131155.9"
"292.678400312694","270","247","999999","214.021115340677","CC","1082645","0.1083259","45273.8","497366.9","54.61806","27716.65","18.10867","5.42713","470","105319.8","27716.65","3807","12472.49","263410.6","539725.9","0","2.817874","91257.15","247.0005","209.9504","9.505352","58.20825","245530.1","120426.4"
"297.456751571996","270","292","999999","228.210615008089","CC","1082673","0.1073224","43743.82","517174.3","55.54845","26158.8","17.56204","5.501143","398","100577.2","26158.8","3223.8","11771.46","267711.1","548537.7","0","3.331252","95082.45","292.0006","248.2005","9.686971","59.68024","246302.6","127676.2"
"269.212097544653","270","279","999999","215.596682668004","CC","1082775","0.1106273","46262.2","484719.9","52.68291","27280.56","18.39984","5.384518","427","104582.1","27280.56","3458.7","12276.25","242290.9","496451.9","0","3.182943","96677.33","279.0005","237.1505","9.848106","55.89947","253662","104435.1"
"281.877606674612","270","297","999999","218.390641963875","CC","1082790","0.1092954","44968.63","501457","53.9897","26449.44","17.97171","5.448359","404","101653.9","26449.44","3272.4","11902.25","253689.8","519808.3","0","3.388294","96532.03","297.0006","252.4505","9.806","57.55385","250946","113671.6"
"314.237287269862","270","281","999999","218.335909137702","CC","1082837","0.1064544","43030.1","526564.3","56.48605","26158.02","17.33667","5.536072","403","100444.8","26158.02","3264.3","11771.11","282813.6","579482.6","0","3.20576","93301.84","281.0005","238.8505","9.583133","60.82409","241938.6","134157.3"
"293.833359172815","270","309","999999","215.53402212972","CC","1082960","0.1084751","43983.67","514360.2","55.05426","25776.9","17.57222","5.499663","398","98958.8","25776.9","3223.8","11599.61","264450","541855.8","0","3.525195","95497.66","309.0006","262.6505","9.604371","58.64474","248142","119587.9"
"316.623976578377","270","262","999999","216.252759972647","CC","1083167","0.1064023","43305.3","523337.4","56.48844","26709.03","17.34785","5.523616","427","102160.1","26709.03","3458.7","12019.06","284961.6","583883.8","0","2.989","91520.6","262.0005","222.7004","9.491357","60.77001","240476.9","134783.6"
"302.541665827845","270","266","999999","213.587739675146","CC","1083313","0.107681","44281.43","510863.8","55.37984","27167","17.66123","5.480673","437","103842.6","27167","3539.7","12225.15","272287.5","557914.8","0","3.034634","92504.02","266.0005","226.1004","9.590798","59.29356","243398.2","125536.7"
"307.528069985241","270","231","999999","216.813970059831","CC","1083326","0.1069728","44537.26","507569.5","55.90969","27689.36","17.84135","5.465973","502","104377.9","27689.36","4066.2","12460.21","276775.3","567110.1","0","2.63534","86551.51","231.0005","196.3504","9.086043","59.56236","241015.2","130698"
"268.97904752392","270","266","999999","219.366183564813","CC","1083546","0.1104985","46501.98","482391","52.67595","27912.19","18.47538","5.376028","447","106742.3","27912.19","3620.7","12560.48","242081.1","496022.2","0","3.034634","95076.52","266.0005","226.1004","9.781456","55.9088","252227.4","105857.1"
