sep=,
"Architecture/PV (kW)","Architecture/Gen (kW)","Architecture/1kWh LI (#)","Architecture/Grid (kW)","Architecture/Converter (kW)","Architecture/Dispatch","Cost/NPC ($)","Cost/LCOE ($/kWh)","Cost/Operating cost ($/yr)","Cost/CAPEX ($)","System/Ren Frac (%)","System/Total Fuel (L/yr)","Project Economics/IRR (%)","Project Economics/Simple Payback (yr)","Gen/Hours","Gen/Production (kWh)","Gen/Fuel (L)","Gen/O&M Cost ($/yr)","Gen/Fuel Cost ($/yr)","PV/CAPEX","PV/Energy Production (kWh/yr)","1kWh LI/Auxiliary Load Percent (%)","1kWh LI/Autonomy (hr)","1kWh LI/Annual Throughput (kWh/yr)","1kWh LI/Nominal Capacity (kWh)","1kWh LI/Accessible Capacity (kWh)","Converter/Rectifier Mean Output (kW)","Converter/Inverter Mean Output (kW)","Grid/Energy Purchased (kWh)","Grid/Energy Sold (kWh)"
"197.59499194998","200","196","999999","142.765264971551","CC","912917","0.1132827","43570","349665.1","46.68784","26309.39","18.47422","5.356913","573","98784.88","26309.39","3438","11839.22","177835.5","364383.4","0","2.60755","73573.73","196.0004","166.6003","7.591604","41.21521","233552.4","63690.25"
"198.680835207339","200","194","999999","144.405642995437","CC","913100.6","0.1130389","43509.22","350634.4","46.8527","26286.11","18.45037","5.36047","573","98686.21","26286.11","3438","11828.75","178812.8","366385.8","0","2.580943","73553.19","194.0004","164.9003","7.608468","41.42887","233404.4","65159.9"
"206.992810691057","200","200","999999","144.366491160587","CC","913307.2","0.1123105","42831.41","359603.5","47.76753","26096.62","18.18438","5.409681","565","98060.63","26096.62","3390","11743.48","186293.5","381713.8","0","2.660766","72909.05","200.0004","170.0003","7.536806","42.23473","230504.8","69354.75"
"195.22792787846","200","205","999999","145.20519958386","CC","913394","0.113423","43541.02","350516.7","46.51622","26101.65","18.55733","5.363641","558","98237.2","26101.65","3348","11745.74","175705.1","360018.3","0","2.727285","74785.78","205.0004","174.2504","7.732804","41.21803","234931.4","63244.23"
"196.788825385188","200","211","999999","143.107820648225","CC","913438.2","0.113483","43368.41","352792.3","46.66553","25866.99","18.41339","5.377731","553","97353.64","25866.99","3318","11640.14","177109.9","362896.8","0","2.807108","74970.83","211.0004","179.3504","7.679573","41.25222","234725.2","62944.88"
"190.611080735018","200","202","999999","143.361054913498","CC","913449.3","0.1140399","43967.53","345058.3","45.92734","26396.78","18.81111","5.336989","570","99221.74","26396.78","3420","11878.55","171550","351504.4","0","2.687373","74487.22","202.0004","171.7003","7.681039","40.57007","235813.3","59911.89"
"196.512498784233","200","203","999999","148.271978620629","CC","913549.6","0.1130713","43431.13","352092.8","46.75764","26115.29","18.51482","5.368801","554","98383.68","26115.29","3324","11751.88","176861.3","362387.2","0","2.700677","75025.66","203.0004","172.5503","7.780656","41.54916","234369.1","65287.96"
"189.03908621866","200","193","999999","144.362874461364","CC","913817.9","0.1141546","44256.29","341694","45.75502","26680.99","18.84565","5.316765","583","100137.8","26680.99","3498","12006.44","170135.2","348605.5","0","2.567639","74189.42","193.0004","164.0503","7.648069","40.39401","235762.7","59539.17"
"192.796544710977","200","206","999999","141.047939878169","CC","914032.9","0.1140882","43836.85","347331.3","46.09811","26267.48","18.65084","5.353418","573","98607.27","26267.48","3438","11820.37","173516.9","355534.6","0","2.740589","74237.69","206.0004","175.1004","7.635581","40.65003","235441.7","60045.53"
"192.597110316506","200","191","999999","140.923523935618","CC","914114","0.1140442","44149.98","343364.5","46.02784","26831.86","18.74511","5.329632","598","100444.6","26831.86","3588","12074.34","173337.4","355166.8","0","2.541031","72753.51","191.0004","162.3503","7.512907","40.48663","234198.5","60339.39"
"209.961716829222","200","194","999999","142.103426815706","CC","914237.8","0.1123675","42865.25","360096.6","47.90231","26165.77","18.17272","5.414297","577","98087.56","26165.77","3462","11774.6","188965.5","387188.8","0","2.580943","72096.16","194.0004","164.9003","7.469063","42.2778","229797.6","69676.38"
"203.267082813367","200","196","999999","140.199033248989","CC","914374.5","0.1131789","43347.41","354000.1","47.14346","26393.02","18.4016","5.386687","586","98850.98","26393.02","3516","11876.86","182940.4","374843.3","0","2.60755","72248.04","196.0004","166.6003","7.455055","41.48006","231474.6","65257.92"
"188.154134744467","200","191","999999","142.618980907166","CC","914406.5","0.1144013","44442.57","339874.4","45.54895","26902.18","18.91821","5.31036","593","100853.4","26902.18","3558","12105.98","169338.7","346973.6","0","2.541031","73716.73","191.0004","162.3503","7.639409","40.1905","235812.9","58602.11"
"202.171376766133","200","183","999999","148.127270416132","CC","914532.5","0.1124715","43503.34","352142.4","47.33435","26981.91","18.41757","5.369875","601","101013.9","26981.91","3606","12141.86","181954.2","372822.7","0","2.434601","71481.44","183.0004","155.5503","7.473157","41.85356","230246","69297.13"
"208.134917026006","200","209","999999","141.985788082539","CC","914563.4","0.1126434","42730.27","362167.2","47.7573","25651.96","18.02284","5.429008","556","96375.9","25651.96","3336","11543.38","187321.4","383820","0","2.7805","73551.4","209.0004","177.6504","7.570723","42.20879","231733.5","68358.73"
"201.736931198624","200","189","999999","141.524359602105","CC","914619.9","0.1131453","43577.54","351270.5","47.02068","26739.82","18.39698","5.369968","596","100098.9","26739.82","3576","12032.92","181563.2","372021.5","0","2.514424","72078.66","189.0004","160.6503","7.468687","41.4258","231181.4","65611.46"
"188.733367116933","200","197","999999","139.100163908321","CC","914723.9","0.1146988","44392.43","340840.1","45.52542","26788.46","18.98958","5.320596","595","100327.2","26788.46","3570","12054.8","169860","348041.8","0","2.620854","73629.63","197.0004","167.4503","7.547284","40.00469","235727.5","57212.28"
"196.806488984592","200","187","999999","152.866995566809","CC","914729.1","0.1128124","43704.7","349735.9","46.86221","26819.6","18.50752","5.355168","583","100725.3","26819.6","3498","12068.82","177125.8","362929.3","0","2.487816","73236.13","187.0004","158.9503","7.636803","41.59234","232566","67531.16"
"204.198005425706","200","184","999999","143.167541497492","CC","914773.9","0.1127311","43476.68","352728.5","47.31682","26863.43","18.36887","5.375835","601","100511.8","26863.43","3606","12088.54","183778.2","376560","0","2.447905","71430.58","184.0004","156.4003","7.475422","41.77406","230182.5","68014.18"
"197.611575563218","200","183","999999","144.928733135288","CC","914777.4","0.1132273","43913.96","347079","46.70309","27108.45","18.62406","5.345762","606","101439.3","27108.45","3636","12198.8","177850.4","364414","0","2.434601","71750.17","183.0004","155.5503","7.496681","41.21014","231642.7","65265.85"
"215.754862188943","200","210","999999","145.361866690814","CC","914979.7","0.11169","42134.29","370287.9","48.64346","25348.89","17.70707","5.467221","540","95446.39","25348.89","3240","11407","194179.4","397871.9","0","2.793804","73967.52","210.0004","178.5004","7.610363","43.19954","229998.7","74007.87"
"200.201487299249","200","192","999999","161.184929005057","CC","915017","0.1120486","43200.89","356536.8","47.49881","26363.31","18.20559","5.387066","561","99279.5","26363.31","3366","11863.49","180181.3","369190","0","2.554335","73999.66","192.0004","163.2003","7.71331","42.37131","232368.1","72005.79"
"209.239116255624","200","217","999999","148.620590897984","CC","915036.4","0.1119711","42381.3","367151.4","48.19093","25288.09","17.80541","5.450783","533","95343.96","25288.09","3198","11379.64","188315.2","385856.2","0","2.886931","75260.16","217.0004","184.4504","7.719609","42.90183","232165.1","72456.5"
"215.259441356052","200","187","999999","143.877706679877","CC","915039.7","0.1117777","42652.66","363646.8","48.45086","26478.92","17.88645","5.431866","585","99237.18","26478.92","3510","11915.51","193733.5","396958.3","0","2.487816","71096.13","187.0004","158.9503","7.405564","42.81944","227193.6","73552.35"
"181.621661078872","200","200","999999","142.860478430657","CC","915194.6","0.1152318","44778.67","336317.6","44.74124","26800.45","19.00044","5.296609","580","100710.6","26800.45","3480","12060.2","163459.5","334927.1","0","2.660766","75190.14","200.0004","170.0003","7.748959","39.53515","238779.6","54674.95"
"219.282832460624","200","215","999999","156.438485060328","CC","915658.8","0.1103333","41587.47","378036.1","49.4418","24998.35","17.42406","5.499315","513","94559.64","24998.35","3078","11249.26","197354.5","404377.8","0","2.860323","75848.15","215.0004","182.7504","7.850414","44.4964","230006.7","82276.1"
"213.746455076473","200","187","999999","169.832551227934","CC","915997.1","0.1100411","42229.73","370071.6","49.25711","26371.21","17.66652","5.454653","569","99135.55","26371.21","3414","11867.04","192371.8","394168.2","0","2.487816","71781.22","187.0004","158.9503","7.504945","44.10663","227602.1","84218.66"
"185.508499609372","200","219","999999","147.14185622203","CC","916799.2","0.114845","44165.4","345850.2","45.41253","25926.16","18.64586","5.350501","550","97670.91","25926.16","3300","11666.77","166957.7","342094.8","0","2.913538","77258.98","219.0004","186.1504","7.900975","40.32925","239414.5","57824.68"
"182.684463321762","200","209","999999","150.019959061596","CC","916844.8","0.1150353","44492.13","341672","45.00323","26316.33","18.88068","5.324971","551","99302.18","26316.33","3306","11842.35","164416","336887","0","2.7805","77306.41","209.0004","177.6504","7.977603","40.07047","239765.8","56833.77"
"206.808173625831","200","180","999999","141.215644452555","CC","917067.1","0.1129839","43595","353492.1","47.44057","27074.47","18.3115","5.385125","618","101029.1","27074.47","3708","12183.51","186127.4","381373.3","0","2.394689","70403.95","180.0004","153.0003","7.361305","41.75159","228975.5","68179.89"
"237.566978876808","200","189","999999","163.858890282073","CC","917362.9","0.1080481","40776.97","390217.9","51.36001","25870.67","17.04187","5.558907","555","97324.88","25870.67","3330","11641.8","213810.3","438095.4","0","2.514424","70742.75","189.0004","160.6503","7.408704","46.30478","222124.9","97073.95"
"188.777208156892","200","179","999999","142.069614034637","CC","917635.3","0.1147187","44893.77","337270.4","45.53257","27588.21","19.03473","5.302073","632","102895.8","27588.21","3792","12414.7","169899.5","348122.6","0","2.381385","71508.84","179.0004","152.1503","7.449724","40.0035","234125.7","59068.29"
"220.4112636848","200","165","999999","155.859875436339","CC","917806.2","0.1103527","42655.38","366378.1","49.48074","27045.35","17.8189","5.443959","642","100373.5","27045.35","3852","12170.41","198370.1","406458.7","0","2.195132","66270.03","165.0003","140.2503","6.957227","43.66341","224646.4","83668.77"
"187.451104369603","200","221","999999","141.813268422756","CC","918366.7","0.1151638","44236.39","346500","45.53911","26096.88","18.53593","5.362895","576","97817.8","26096.88","3456","11743.59","168706","345677.1","0","2.940146","75918.7","221.0004","187.8504","7.735785","40.21045","238128.3","57167.88"
"201.093106878185","200","228","999999","145.739457318796","CC","918767.6","0.1134822","43091.18","361705.6","47.19723","25608.94","18.01166","5.439584","551","96304.45","25608.94","3306","11524.02","180983.8","370834.3","0","3.033273","75741.79","228.0005","193.8004","7.770555","41.92189","234384.5","66582.31"
"209.315888702771","200","181","999999","138.013362499314","CC","918830.8","0.1133755","43611.81","355038.3","47.49299","27075.68","18.17156","5.399746","625","100879","27075.68","3750","12184.06","188384.3","385997.8","0","2.407993","69961.73","181.0004","153.8503","7.307157","41.67983","228289.7","67214.78"
"171.555535665833","200","213","999999","145.083030393998","CC","918964.5","0.1169639","45468.1","331174.9","43.33862","26671.97","19.27272","5.283051","565","100498.8","26671.97","3390","12002.39","154400","316364.2","0","2.833715","77675.3","213.0004","181.0504","7.963882","38.45091","243866","48069.82"
"235.93112526093","200","181","999999","150.207504401177","CC","919020.1","0.109838","41490.55","382650.3","50.49072","26250.38","17.11342","5.534704","589","98179.98","26250.38","3534","11812.67","212338","435078.8","0","2.407993","68818.03","181.0004","153.8503","7.232668","44.91814","222258","87538.53"
"202.204516425981","200","169","999999","165.525373123944","CC","919387.1","0.1120733","43743.55","353891.7","47.78421","27345.25","18.28933","5.382704","638","101733.1","27345.25","3828","12305.36","181984.1","372883.8","0","2.248347","68532.1","169.0003","143.6503","7.196356","42.18988","229613.9","74882.72"
"198.600657548989","200","220","999999","137.941543549077","CC","919716.3","0.1145379","43673.76","355123.1","46.6238","26101.44","18.09865","5.414848","594","97437.95","26101.44","3564","11745.65","178740.6","366237.9","0","2.926842","73525.82","220.0004","187.0004","7.513553","40.96827","234103.1","61450.63"
"200.621227881427","200","231","999999","160.638286656354","CC","919766.3","0.1127169","42797.53","366500.6","47.50114","25431.09","17.67297","5.457812","516","96326.94","25431.09","3096","11443.99","180559.1","369964.1","0","3.073184","77790.48","231.0005","196.3504","8.048004","42.69893","235050.6","71519.42"
"175.884435846797","200","186","999999","146.510226515528","CC","920227.6","0.1163998","45753.45","328749.1","43.89624","27760.68","19.32363","5.264733","615","104003.6","27760.68","3690","12492.3","158296","324347.1","0","2.474512","74586.3","186.0004","158.1003","7.745045","38.79708","239095.8","51854.73"
"225.749784192046","200","234","999999","164.471461216372","CC","920593.8","0.1096602","40965.14","391016.3","50.37803","24471.62","16.91891","5.576762","500","92615.78","24471.62","3000","11012.23","203174.8","416303.4","0","3.113096","76703.27","234.0005","198.9004","7.922338","45.68503","229623.1","89697.81"
"249.050267492328","200","186","999999","157.141657894433","CC","920743.5","0.1082028","40452.92","397787.8","51.88897","25812.68","16.70936","5.608542","559","96990.45","25812.68","3354","11615.71","224145.2","459271.7","0","2.474512","69632.01","186.0004","158.1003","7.328831","46.70482","219696.3","98551.81"
"175.097746877826","200","195","999999","157.231654906054","CC","920817.6","0.1164019","45431.01","333507.5","43.91404","26926.82","19.06994","5.288472","572","101423.6","26926.82","3432","12117.07","157588","322896.4","0","2.594247","76922.7","195.0004","165.7503","7.973931","39.06953","241780.6","52235.6"
"164.99970818259","200","209","999999","141.007266814547","CC","920939.3","0.1181782","46249.21","323051.9","42.22285","27055.34","19.63815","5.249222","588","101613.4","27055.34","3528","12174.9","148499.7","304274.7","0","2.7805","77126.7","209.0004","177.6504","7.887575","37.35779","246671.6","43117.89"
"182.718289213397","200","239","999999","145.155643182744","CC","922818.8","0.1160564","44484.61","347743.2","45.02949","25935.17","18.44218","5.384597","567","97332.11","25935.17","3402","11670.83","164446.5","336949.4","0","3.179615","77541.18","239.0005","203.1504","7.926538","39.96104","240780.9","55391.07"
"185.209204028869","200","222","999999","166.814101649407","CC","923014.1","0.1151071","44152.45","352232.5","45.48917","25789.62","18.20852","5.391386","524","97668.89","25789.62","3144","11605.33","166688.3","341542.8","0","2.95345","79350.28","222.0004","188.7004","8.240747","40.88478","240453.4","60595.04"
